,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Abolicao,0,0.41666666666666663,0.6896964422034291,0.5603112840466926,0.03092045254551806,0.006895881895881896,0.020383760816334133,0.006895881895881896,73.58333333333336
Acari,1,0.1388888888888889,0.6754189863795882,0.4376899696048632,0.02646521853441705,0.0004856254856254856,0.01045337233895625,0.0004856254856254856,38.070238095238096
Agua Santa,0,0.0625,0.7403608314554035,0.41739130434782606,0.02084824112709291,0.0003885003885003885,0.00642958293049073,0.0003885003885003885,94.25
Alto da Boa Vista,0,0.034722222222222224,0.8238233491050154,0.3850267379679144,0.015927606337285447,9.712509712509713e-05,0.003413232962375547,9.712509712509713e-05,88.08333333333333
Anchieta,2,0.5902777777777778,0.5290028765168961,0.5975103734439834,0.03167829889267583,0.013791763791763792,0.034708602571704474,0.013791763791763792,98.96666666666665
Andarai,0,0.4305555555555555,0.6121748043366331,0.549618320610687,0.031020391739536624,0.010198135198135198,0.03733009399477828,0.010198135198135198,71.93333333333334
Anil,0,0.5,0.6336028360644121,0.582995951417004,0.03133140987952975,0.003205128205128205,0.023674398354208145,0.003205128205128205,98.26666666666667
Bancarios,0,0.4375,0.642290161982916,0.5538461538461539,0.03101824671027212,0.006507381507381507,0.021915239418211628,0.006507381507381507,107.76666666666668
Bangu,2,0.0625,0.7256290897042486,0.39779005524861877,0.02094480593411879,0.0002913752913752914,0.006428791579838502,0.0002913752913752914,105.14999999999999
Barra de Guaratiba,3,0.020833333333333332,0.9254481724196446,0.190224570673712,0.0035099240822434588,0.0,0.004745488868298842,0.0,94.10000000000001
Barros Filho,1,0.1388888888888889,0.7199504955161486,0.4247787610619469,0.02643090044123692,0.002428127428127428,0.00955018823267008,0.002428127428127428,74.86666666666667
Benfica,1,0.15277777777777776,0.7063222937642626,0.43902439024390244,0.026984637187845054,0.00019425019425019425,0.010629959370094588,0.00019425019425019425,59.00000000000006
Bento Ribeiro,0,0.5416666666666666,0.6175832727455484,0.5975103734439834,0.03152676096653854,0.004273504273504274,0.025607246212485134,0.004273504273504274,106.98333333333333
Bonsucesso,1,0.0625,0.726797157123586,0.3988919667590028,0.021101582489603293,9.712509712509713e-05,0.0036478311391243976,9.712509712509713e-05,43.90238095238097
Bras de Pina,1,0.611111111111111,0.5477219118580676,0.6206896551724138,0.031752739528710404,0.00777000777000777,0.031418682366466166,0.00777000777000777,94.25
Cachambi,0,0.4930555555555555,0.6076325000626174,0.5925925925925926,0.03132682499191721,0.020590520590520592,0.032181535378975154,0.020590520590520592,102.14999999999999
Cacuia,0,0.18055555555555555,0.6309841288328151,0.46905537459283386,0.027882694721098267,0.0020396270396270395,0.013168783715167401,0.0020396270396270395,78.93333333333334
Caju,1,0.006944444444444444,0.0,0.28402366863905326,0.004736441338121841,0.0,3.830140038333873e-17,0.0,99.46666666666665
Camorim,3,0.034722222222222224,0.7461402302919173,0.19072847682119207,0.0038630363807900265,9.712509712509713e-05,0.011331479774773019,9.712509712509713e-05,84.75
Campinho,0,0.625,0.542372930020572,0.6371681415929203,0.03179714244634727,0.006701631701631702,0.03208204259370616,0.006701631701631702,88.41666666666667
Cascadura,2,0.5208333333333333,0.5844293345165161,0.582995951417004,0.031431380076389195,0.014083139083139084,0.028909231202610602,0.014083139083139084,105.25000000000001
Catete,4,0.0625,0.5860530287490487,0.3891891891891892,0.020341841350856805,0.005147630147630148,0.01902155601131293,0.005147630147630148,91.51666666666667
Catumbi,0,0.3055555555555555,0.6385307002651242,0.5034965034965035,0.029957939612645153,0.017094017094017096,0.03387639309020573,0.017094017094017096,91.56666666666665
