,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Abolicao,0,0.41666666666666663,0.6896964422034292,0.5603112840466926,0.030920452545519478,0.006895881895881896,0.020383760816330008,0.006895881895881896,73.58333333333336
Acari,1,0.1388888888888889,0.6754189863795881,0.4376899696048632,0.026465218534418224,0.0004856254856254856,0.010453372338955883,0.0004856254856254856,71.93333333333337
Agua Santa,0,0.0625,0.7403608314554033,0.41739130434782606,0.02084824112709347,0.0003885003885003885,0.00642958293049074,0.0003885003885003885,98.88333333333333
Alto da Boa Vista,0,0.034722222222222224,0.8238233491050153,0.3850267379679144,0.015927606337285873,9.712509712509713e-05,0.0034132329623754723,9.712509712509713e-05,86.75
Anchieta,2,0.5902777777777778,0.5290028765168961,0.5975103734439834,0.03167829889267766,0.013791763791763792,0.03470860257170268,0.013791763791763792,74.86666666666666
Andarai,0,0.4305555555555555,0.6121748043366331,0.549618320610687,0.03102039173953797,0.010198135198135198,0.03733009399477627,0.010198135198135198,91.13333333333333
Anil,0,0.5,0.6336028360644124,0.582995951417004,0.03133140987953127,0.003205128205128205,0.023674398354207916,0.003205128205128205,34.907936507936505
Bancarios,0,0.4375,0.6422901619829156,0.5538461538461539,0.031018246710273603,0.006507381507381507,0.021915239418211357,0.006507381507381507,64.56666666666669
Bangu,2,0.0625,0.7256290897042486,0.39779005524861877,0.020944805934119494,0.0002913752913752914,0.006428791579838213,0.0002913752913752914,91.56666666666666
Barra de Guaratiba,3,0.020833333333333332,0.9254481724196446,0.190224570673712,0.0035099240822440182,0.0,0.004745488868306525,0.0,85.33333333333334
Barros Filho,1,0.1388888888888889,0.7199504955161486,0.4247787610619469,0.026430900441237897,0.002428127428127428,0.009550188232669331,0.002428127428127428,38.570238095238096
Benfica,1,0.15277777777777776,0.7063222937642627,0.43902439024390244,0.026984637187846106,0.00019425019425019425,0.010629959370094023,0.00019425019425019425,83.91666666666666
Bento Ribeiro,0,0.5416666666666666,0.6175832727455483,0.5975103734439834,0.03152676096653984,0.004273504273504274,0.025607246212485696,0.004273504273504274,70.05
Bonsucesso,1,0.0625,0.726797157123586,0.3988919667590028,0.021101582489603976,9.712509712509713e-05,0.0036478311391244652,9.712509712509713e-05,84.33333333333333
Bras de Pina,2,0.611111111111111,0.5477219118580677,0.6206896551724138,0.031752739528711986,0.00777000777000777,0.03141868236646771,0.00777000777000777,78.58333333333333
