,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Abolicao,2,0.12582781456953643,0.4799071214116929,0.383248730964467,0.022917169595957337,0.011567328918322295,0.03542110529209617,0.011567328918322295,64.58333333333339
Acari,1,0.10596026490066225,0.447831801602171,0.35697399527186763,0.02166364118558856,0.0007947019867549669,0.03148354765044629,0.0007947019867549669,56.31666666666675
Agua Santa,2,0.09933774834437085,0.449129323388905,0.35697399527186763,0.020094791892595235,0.005916114790286976,0.02394281344003385,0.005916114790286976,58.05000000000005
Alto da Boa Vista,2,0.11258278145695365,0.23735569657695238,0.3561320754716981,0.020586844477935892,0.034172185430463575,0.06184380894149005,0.034172185430463575,65.81666666666672
Anchieta,3,0.17218543046357615,0.35058050033853344,0.39528795811518325,0.02419131778676976,0.012891832229580574,0.041339487455031826,0.012891832229580574,50.21666666666673
Andarai,2,0.17880794701986755,0.3886352702503894,0.3647342995169082,0.02441830348624661,0.002737306843267108,0.037448955464276706,0.002737306843267108,66.76666666666671
Anil,4,0.019867549668874173,0.21826939144907267,0.21757925072046108,0.0053185514908129445,0.00026490066225165563,0.014996887706030606,0.00026490066225165563,58.516666666666715
Bancarios,0,0.07947019867549669,0.5307017460458345,0.33555555555555555,0.01662375337585538,0.007417218543046358,0.0236818853693267,0.007417218543046358,61.96666666666671
Bangu,3,0.1456953642384106,0.35895259067033364,0.35697399527186763,0.022725317709447128,0.015629139072847683,0.03103401720784837,0.015629139072847683,68.30000000000007
Barra de Guaratiba,0,0.059602649006622516,0.5678619176005442,0.3165618448637317,0.016722355116464662,0.0017660044150110375,0.027323754716842067,0.0017660044150110375,57.766666666666715
Barros Filho,1,0.10596026490066225,0.42506968362810177,0.363855421686747,0.0213459002130046,0.0013245033112582781,0.030927763035453346,0.0013245033112582781,54.850000000000065
Benfica,1,0.11258278145695365,0.3612645917067095,0.3247311827956989,0.020909468673428723,0.004326710816777042,0.02774079600825652,0.004326710816777042,62.00000000000007
Bento Ribeiro,2,0.08609271523178808,0.4266568010908739,0.3629807692307692,0.020515046721609677,0.005209713024282561,0.045438511579036445,0.005209713024282561,63.083333333333414
Bonsucesso,1,0.059602649006622516,0.4202375905705803,0.33186813186813185,0.016470310996347826,0.00423841059602649,0.019260971704326158,0.00423841059602649,68.91666666666669
Botafogo,2,0.07947019867549669,0.5121673523828175,0.3254310344827586,0.01882559116258718,0.0004415011037527594,0.01915179314795661,0.0004415011037527594,58.63333333333337
