Bairros,Abolicao,Acari,Agua Santa,Alto da Boa Vista,Anchieta,Andarai,Anil,Bancarios,Bangu,Barra de Guaratiba,Barros Filho,Benfica,Bento Ribeiro,Bonsucesso,Botafogo,Bras de Pina,Cachambi,Cacuia,Caju,Camorim,Campinho,Cascadura,Catete,Catumbi,Cavalcanti,Cidade de Deus,Cidade Nova,Cocota,Coelho Neto,Colegio,Complexo do Alemao,Copacabana,Cordovil,Cosme Velho,Cosmos,Costa Barros,Curicica,Del Castilho,Deodoro,Encantado,Engenheiro Leal,Engenho da Rainha,Engenho de Dentro,Engenho Novo,Estacio,Flamengo,Freguesia Ilha do Governador,Freguesia de Jacarepagua,Galeao,Gamboa,Gardenia Azul,Gavea,Gloria,Grajau,Guadalupe,Guaratiba,Higienopolis,Honorio Gurgel,Humaita,Imperial de Sao Cristovao,Inhauma,Inhoaiba,Ipanema,Iraja,Itanhanga,Jacare,Jacarepagua,Jacarezinho,Jardim America,Jardim Botanico,Jardim Carioca,Jardim Guanabara,Jardim Sulacap,Joa,Lagoa,Laranjeiras,Leblon,Leme,Lins de Vasconcelos,Madureira,Magalhaes Bastos,Mangueira,Manguinhos,Maracana,Mare,Marechal Hermes,Maria da Graca,Meier,Monero,Olaria,Oswaldo Cruz,Paciencia,Padre Miguel,Paqueta,Parada de Lucas,Parque Anchieta,Parque Columbia,Pavuna,Pechincha,Pedra de Guaratiba,Penha,Penha Circular,Piedade,Pilares,Pitangueiras,Portuguesa,Praca da Bandeira,Praca Seca,Praia da Bandeira,Quintino Bocaiuva,Ramos,Realengo,Recreio dos Bandeirantes,Riachuelo,Ribeira,Ricardo de Albuquerque,Rio Comprido,Rocha,Rocha Miranda,Rocinha,Sampaio,Santa Cruz,Santa Teresa,Santissimo,Santo Cristo,Sao Conrado,Sao Francisco Xavier,Saude,Senador Camara,Senador Vasconcelos,Sepetiba,Tanque,Taquara,Taua,Tijuca,Todos os Santos,Tomas Coelho,Turiacu,Urca,Vargem Grande,Vargem Pequena,Vasco da Gama,Vaz Lobo,Vicente de Carvalho,Vidigal,Vigario Geral,Vila Cosmos,Vila da Penha,Vila Isabel,Vila Valqueire,Vista Alegre,Zumbi
Abolicao,0.0,0.0,0.0,0.0,0.0,0.7036762261917354,0.0,0.0,0.0,0.0,0.0,0.0,0.8184867335223777,0.0,0.0,0.0,0.9222514445007652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948333458314797,0.0,0.0,0.7882834700680078,0.6458679270372258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5032248001905772,0.0,0.7589064787305629,0.0,0.0,0.703822713079396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606475813135817,0.0,0.0,0.0,0.8076003197482828,0.6541768291170375,0.0,0.0,0.7264341114225257,0.0,0.0,0.0,0.0,0.0,0.0,0.7430415416411098,0.0,0.0,0.5268927463711611,0.6804266652209846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8907399806821515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6940502995631114,0.5210637637323767,0.0,0.0
Acari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9273079529181509,0.7231409092685037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7511964818039828,0.6254517923071542,0.0,0.6139391836326065,0.0,0.0,0.859975635228456,0.0,0.0,0.557946233522561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6358484357608334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478067025383116,0.0,0.7244825178180219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8689833760119035,0.0,0.6976046511634197,0.789679328621275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376105205917735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5479368104352396,0.0,0.7031634539434422,0.0,0.0,0.0,0.0,0.0,0.0
Agua Santa,0.0,0.0,0.0,0.7536456630949078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5745309406546314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5653666997376976,0.0,0.0,0.0,0.0,0.0,0.9001877920479295,0.0,0.0,0.0,0.0,0.5489270406005354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009659226798184,0.0,0.0,0.0,0.0,0.7260701017958343,0.0,0.0,0.0,0.6162624386457103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5313064414055678,0.0,0.0,0.0,0.0,0.5139882023642526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6293230998783453,0.0,0.0,0.5418003662027348,0.0,0.0,0.0,0.0,0.0,0.5052545958492703,0.0,0.0,0.0,0.0,0.0,0.0,0.5065679720585751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6061837586499482,0.0,0.0
Alto da Boa Vista,0.0,0.0,0.7536456630949078,0.0,0.0,0.0,0.0,0.0,0.0,0.5102357936090811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5483830161749662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6789179837922722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7084392756152873,0.0,0.0,0.0,0.0,0.0,0.0,0.6773797597204756,0.0,0.5598667624702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614621384067666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5148173004963638,0.0,0.0,0.0,0.5918144329512303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227262280370513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6108888085205659,0.0,0.0,0.545266826182042,0.0,0.0,0.0,0.0,0.0,0.6123272829416369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611304291048267,0.5529166639180747,0.0,0.0,0.0,0.5581453976126798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchieta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434728839754092,0.0,0.0,0.0,0.0,0.5945502544446923,0.0,0.0,0.0,0.0,0.0,0.5753499195326468,0.0,0.0,0.7280697648111439,0.0,0.0,0.0,0.0,0.5463722180780453,0.0,0.0,0.5037776649976287,0.0,0.5169343045993684,0.7696619442921583,0.0,0.0,0.0,0.0,0.7192747415781163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928803723784831,0.0,0.0,0.7537817318033279,0.0,0.0,0.0,0.5347477230079265,0.0,0.0,0.0,0.0,0.0,0.0,0.737240599745471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6126547909284129,0.0,0.0,0.0,0.0,0.5964105197700219,0.0,0.0,0.0,0.0,0.6314687335855836,0.0,0.7307124611276599,0.0,0.0,0.6483016107210775,0.6400013876380307,0.609564163358812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9357188487661515,0.0,0.0,0.7143935877941556,0.0,0.0,0.0,0.0,0.5157524683284795,0.0,0.0,0.0,0.0,0.6102705404068341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169265222230116,0.0,0.0,0.0,0.0,0.7655979141974734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andarai,0.7036762261917354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7980346959442324,0.0,0.0,0.0,0.0,0.0,0.6178220278508663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6238505560281022,0.0,0.0,0.0,0.0,0.0,0.6681051461243038,0.0,0.0,0.6606598650835419,0.5723559306383973,0.0,0.6144888936280127,0.0,0.0,0.0,0.0,0.0,0.5526347876999764,0.0,0.6665309041363491,0.0,0.0,0.0,0.0,0.827045348697553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74509385037579,0.0,0.0,0.0,0.0,0.6836111628562386,0.7881653018420223,0.0,0.5612189189216806,0.0,0.0,0.0,0.0,0.0,0.5168869507501366,0.0,0.0,0.0,0.7272893767365094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5289392668826238,0.0,0.0,0.0,0.6441083579107182,0.0,0.0,0.0,0.7502871422289364,0.0,0.0,0.0,0.0,0.0,0.0,0.730626881619857,0.0,0.0,0.7280102922331165,0.6640422735066384,0.0,0.0,0.0,0.0,0.6442155425556707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7922931561678227,0.0,0.0,0.5887669886307086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8286837841999996,0.0,0.0,0.0
Anil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5962809917476352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905269604523102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219581331663238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bancarios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6438199633646359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5935640372146722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468060320459225,0.0,0.8709371667520805,0.5823539919341151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6515933292374553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677867036885134,0.8783315853400552,0.0,0.0,0.7473084550659268,0.0,0.0,0.0,0.0,0.0,0.5337005253300307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9408824535379557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6643858529239943
Bangu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6942965820598855,0.0,0.0,0.6424903215803704,0.0,0.0,0.0,0.5175811946366723,0.0,0.0,0.0,0.0,0.0,0.6390426143647517,0.0,0.0,0.0,0.5019485753043069,0.0,0.6012178502795809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5451127122301604,0.0,0.0,0.0,0.0,0.0,0.0,0.6424082158346649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5246280912018694,0.0,0.0,0.0,0.0,0.0,0.0,0.6660167256929559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8238006993443607,0.0,0.0,0.5824646819160645,0.5029526202885474,0.5372181418398022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6564293878834008,0.0,0.86802515836222,0.0,0.0,0.0,0.0,0.0,0.0,0.5202084460375354,0.0,0.0,0.0,0.0,0.7563500013236824,0.0,0.0,0.0,0.0,0.8779858800826018,0.7498160419155824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5864827969190592,0.0,0.0,0.0,0.5062777938762243,0.0,0.0,0.0,0.0,0.0
Barra de Guaratiba,0.0,0.0,0.0,0.5102357936090811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120166881510525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8472582719965711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8549955607927441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252591444166291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7435420078766081,0.5314945163358413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8168703993390466,0.8722420511669621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
